Id;Year;Edition;Film;Won;Nominees;Record;Writer;Age (in years);Ref.
139;1968;41;Hot Millions;False;Peter Ustinov & Ira Wallach;;;;
318;2004;77;Hotel Rwanda;False;Terry George & Keir Pearson;;;;
88;1958;31;Houseboat;False;Melville Shavelson & Jack Rose;;;;
111;1963;36;How the West Was Won;True;James R. Webb‡;;;;
257;1992;65;Husbands and Wives;False;Woody Allen;;;;
85;1957;30;I Vitelloni;False;Screenplay: Federico Fellini & Ennio Flaiano;;;;
315;2003;76;In America;False;Jim, Kirsten & Naomi Sheridan;;;;
339;2008;81;In Bruges;False;Martin McDonagh;;;;
263;1993;66;In the Line of Fire;False;Jeff Maguire;;;;
17;1943;16;In Which We Serve;False;;;;;
349;2010;83;Inception;False;Christopher Nolan;;;;
342;2009;82;Inglourious Basterds;False;Quentin Tarantino;;;;
374;2015;88;Inside Out;False;Screenplay: Josh Cooley, Pete Docter & Meg LeFauve;;;;
189;1978;51;Interiors;False;Woody Allen;;;;
71;1955;28;Interrupted Melody;True;Sonya Levien & William Ludwig‡;;;;
152;1971;44;Investigation of a Citizen Above Suspicion;False;Elio Petri & Ugo Pirro;;;;
73;1955;28;It's Always Fair Weather;False;Betty Comden & Adolph Green;;;;
277;1996;69;Jerry Maguire;False;Cameron Crowe;;;;
148;1970;43;Joe;False;Norman Wexler;;;;
42;1949;22;Jolson Sings Again;False;;;;;
398;2020;93;Judas and the Black Messiah;False;Screenplay: Will Berson & Shaka King;;;;
78;1956;29;Julie;False;Andrew L. Stone;;;;
331;2007;80;Juno;True;Diablo Cody‡;;;;
129;1966;39;Khartoum;False;Robert Ardrey;;;;
404;2021;94;King Richard;False;Zach Baylin;;;;
153;1971;44;Klute;False;Andy & David Lewis;;;;
392;2019;92;Knives Out;False;Rian Johnson;;;;
70;1954;27;Knock on Wood;False;Melvin Frank & Norman Panama;;;;
104;1961;34;La Dolce Vita;False;Federico Fellini, Ennio Flaiano, Tullio Pinelli & Brunello Rondi;;;;
134;1967;40;La Guerre Est Finie;False;Jorge Semprún;;;;
378;2016;89;La La Land;False;Damien Chazelle;;;;
79;1956;29;La Strada;False;Federico Fellini & Tullio Pinelli;;;;
383;2017;90;Lady Bird;False;Greta Gerwig;;;;
158;1972;45;Lady Sings the Blues;False;Chris Clark, Suzanne de Passe & Terrence McCloy;;;;
332;2007;80;Lars and the Real Girl;False;Nancy Oliver;;;;
108;1962;35;Last Year at Marienbad;False;Alain Robbe-Grillet;;;;
328;2006;79;Letters from Iwo Jima;False;Screenplay: Iris Yamashita;;;;
405;2021;94;Licorice Pizza;False;Paul Thomas Anderson;;;;
174;1975;48;Lies My Father Told Me;False;Ted Allan;;;;
288;1998;71;Life Is Beautiful;False;Roberto Benigni & Vincenzo Cerami;;;;
326;2006;79;Little Miss Sunshine;True;Michael Arndt‡;;;;
278;1996;69;Lone Star;False;John Sayles;;;;
258;1992;65;Lorenzo's Oil;False;Nick Enright & George Miller;;;;
311;2003;76;Lost in Translation;True;Sofia Coppola‡;;;;
149;1970;43;Love Story;False;Erich Segal;;;;
115;1963;36;Love with the Proper Stranger;False;Arnold Schulman;;;;
105;1961;34;Lover Come Back;False;Paul Henning & Stanley Shapiro;;;;
414;2023;96;Maestro;False;Bradley Cooper & Josh Singer;;;;
293;1999;72;Magnolia;False;Paul Thomas Anderson;;;;
83;1957;30;Man of a Thousand Faces;False;Screenplay: Robert Campbell, Ivan Goff & Ben Roberts;;;;
376;2016;89;Manchester by the Sea;True;Kenneth Lonergan‡;;;;
195;1979;52;Manhattan;False;Woody Allen & Marshall Brickman;;;;
354;2011;84;Margin Call;False;J. C. Chandor;;;;
25;1945;18;Marie-Louise;True;;;;;
393;2019;92;Marriage Story;False;Noah Baumbach;;;;
323;2005;78;Match Point;False;Woody Allen;;;;
415;2023;96;May December;False;Screenplay: Samy Burch;;;;
196;1980;53;Melvin and Howard;True;Bo Goldman‡;;;;
303;2001;74;Memento;False;Screenplay: Christopher Nolan;;;;
250;1990;63;Metropolitan;False;Whit Stillman;;;;
333;2007;80;Michael Clayton;False;Tony Gilroy;;;;
